가 ㄱ ㅏ 
각 ㄱ ㅏ ㄱ 
갂 ㄱ ㅏ ㄲ 
갃 ㄱ ㅏ ㄳ 
간 ㄱ ㅏ ㄴ 
갅 ㄱ ㅏ ㄵ 
갆 ㄱ ㅏ ㄶ 
갇 ㄱ ㅏ ㄷ 
갈 ㄱ ㅏ ㄹ 
갉 ㄱ ㅏ ㄺ 
갊 ㄱ ㅏ ㄻ 
갋 ㄱ ㅏ ㄼ 
갌 ㄱ ㅏ ㄽ 
갍 ㄱ ㅏ ㄾ 
갎 ㄱ ㅏ ㄿ 
갏 ㄱ ㅏ ㅀ 
감 ㄱ ㅏ ㅁ 
갑 ㄱ ㅏ ㅂ 
값 ㄱ ㅏ ㅄ 
갓 ㄱ ㅏ ㅅ 
갔 ㄱ ㅏ ㅆ 
강 ㄱ ㅏ ㅇ 
갖 ㄱ ㅏ ㅈ 
갗 ㄱ ㅏ ㅊ 
갘 ㄱ ㅏ ㅋ 
같 ㄱ ㅏ ㅌ 
갚 ㄱ ㅏ ㅍ 
갛 ㄱ ㅏ ㅎ 
개 ㄱ ㅐ 
객 ㄱ ㅐ ㄱ 
갞 ㄱ ㅐ ㄲ 
갟 ㄱ ㅐ ㄳ 
갠 ㄱ ㅐ ㄴ 
갡 ㄱ ㅐ ㄵ 
갢 ㄱ ㅐ ㄶ 
갣 ㄱ ㅐ ㄷ 
갤 ㄱ ㅐ ㄹ 
갥 ㄱ ㅐ ㄺ 
갦 ㄱ ㅐ ㄻ 
갧 ㄱ ㅐ ㄼ 
갨 ㄱ ㅐ ㄽ 
갩 ㄱ ㅐ ㄾ 
갪 ㄱ ㅐ ㄿ 
갫 ㄱ ㅐ ㅀ 
갬 ㄱ ㅐ ㅁ 
갭 ㄱ ㅐ ㅂ 
갮 ㄱ ㅐ ㅄ 
갯 ㄱ ㅐ ㅅ 
갰 ㄱ ㅐ ㅆ 
갱 ㄱ ㅐ ㅇ 
갲 ㄱ ㅐ ㅈ 
갳 ㄱ ㅐ ㅊ 
갴 ㄱ ㅐ ㅋ 
갵 ㄱ ㅐ ㅌ 
갶 ㄱ ㅐ ㅍ 
갷 ㄱ ㅐ ㅎ 
갸 ㄱ ㅑ 
갹 ㄱ ㅑ ㄱ 
갺 ㄱ ㅑ ㄲ 
갻 ㄱ ㅑ ㄳ 
갼 ㄱ ㅑ ㄴ 
갽 ㄱ ㅑ ㄵ 
갾 ㄱ ㅑ ㄶ 
갿 ㄱ ㅑ ㄷ 
걀 ㄱ ㅑ ㄹ 
걁 ㄱ ㅑ ㄺ 
걂 ㄱ ㅑ ㄻ 
걃 ㄱ ㅑ ㄼ 
걄 ㄱ ㅑ ㄽ 
걅 ㄱ ㅑ ㄾ 
걆 ㄱ ㅑ ㄿ 
걇 ㄱ ㅑ ㅀ 
걈 ㄱ ㅑ ㅁ 
걉 ㄱ ㅑ ㅂ 
걊 ㄱ ㅑ ㅄ 
걋 ㄱ ㅑ ㅅ 
걌 ㄱ ㅑ ㅆ 
걍 ㄱ ㅑ ㅇ 
걎 ㄱ ㅑ ㅈ 
걏 ㄱ ㅑ ㅊ 
걐 ㄱ ㅑ ㅋ 
걑 ㄱ ㅑ ㅌ 
걒 ㄱ ㅑ ㅍ 
걓 ㄱ ㅑ ㅎ 
걔 ㄱ ㅒ 
걕 ㄱ ㅒ ㄱ 
걖 ㄱ ㅒ ㄲ 
걗 ㄱ ㅒ ㄳ 
걘 ㄱ ㅒ ㄴ 
걙 ㄱ ㅒ ㄵ 
걚 ㄱ ㅒ ㄶ 
걛 ㄱ ㅒ ㄷ 
걜 ㄱ ㅒ ㄹ 
걝 ㄱ ㅒ ㄺ 
걞 ㄱ ㅒ ㄻ 
걟 ㄱ ㅒ ㄼ 
걠 ㄱ ㅒ ㄽ 
걡 ㄱ ㅒ ㄾ 
걢 ㄱ ㅒ ㄿ 
걣 ㄱ ㅒ ㅀ 
걤 ㄱ ㅒ ㅁ 
걥 ㄱ ㅒ ㅂ 
걦 ㄱ ㅒ ㅄ 
걧 ㄱ ㅒ ㅅ 
걨 ㄱ ㅒ ㅆ 
걩 ㄱ ㅒ ㅇ 
걪 ㄱ ㅒ ㅈ 
걫 ㄱ ㅒ ㅊ 
걬 ㄱ ㅒ ㅋ 
걭 ㄱ ㅒ ㅌ 
걮 ㄱ ㅒ ㅍ 
걯 ㄱ ㅒ ㅎ 
거 ㄱ ㅓ 
걱 ㄱ ㅓ ㄱ 
걲 ㄱ ㅓ ㄲ 
걳 ㄱ ㅓ ㄳ 
건 ㄱ ㅓ ㄴ 
걵 ㄱ ㅓ ㄵ 
걶 ㄱ ㅓ ㄶ 
걷 ㄱ ㅓ ㄷ 
걸 ㄱ ㅓ ㄹ 
걹 ㄱ ㅓ ㄺ 
걺 ㄱ ㅓ ㄻ 
걻 ㄱ ㅓ ㄼ 
걼 ㄱ ㅓ ㄽ 
걽 ㄱ ㅓ ㄾ 
걾 ㄱ ㅓ ㄿ 
걿 ㄱ ㅓ ㅀ 
검 ㄱ ㅓ ㅁ 
겁 ㄱ ㅓ ㅂ 
